I = 1400000, Safe = 0.01621, UnSafe = 0.02137, Safe / Unsafe = 0.75863
I = 1500000, Safe = 0.01618, UnSafe = 0.02133, Safe / Unsafe = 0.75844
I = 1600000, Safe = 0.01621, UnSafe = 0.02132, Safe / Unsafe = 0.76051
I = 1700000, Safe = 0.01623, UnSafe = 0.02130, Safe / Unsafe = 0.76215
I = 1800000, Safe = 0.01624, UnSafe = 0.02130, Safe / Unsafe = 0.76252
I = 1900000, Safe = 0.01621, UnSafe = 0.02132, Safe / Unsafe = 0.76056
I = 2000000, Safe = 0.01627, UnSafe = 0.02134, Safe / Unsafe = 0.76219
I = 2100000, Safe = 0.01626, UnSafe = 0.02132, Safe / Unsafe = 0.76255
I = 2200000, Safe = 0.01625, UnSafe = 0.02130, Safe / Unsafe = 0.76294
I = 2300000, Safe = 0.01626, UnSafe = 0.02129, Safe / Unsafe = 0.76340
I = 2400000, Safe = 0.01626, UnSafe = 0.02129, Safe / Unsafe = 0.76370
I = 2500000, Safe = 0.01626, UnSafe = 0.02131, Safe / Unsafe = 0.76306
I = 2600000, Safe = 0.01626, UnSafe = 0.02132, Safe / Unsafe = 0.76265
I = 2700000, Safe = 0.01625, UnSafe = 0.02132, Safe / Unsafe = 0.76220
I = 2800000, Safe = 0.01625, UnSafe = 0.02133, Safe / Unsafe = 0.76209
I = 2900000, Safe = 0.01626, UnSafe = 0.02130, Safe / Unsafe = 0.76333
I = 3000000, Safe = 0.01624, UnSafe = 0.02128, Safe / Unsafe = 0.76308
I = 100000, Safe = 0.01586, UnSafe = 0.02123, Safe / Unsafe = 0.74706
I = 200000, Safe = 0.01592, UnSafe = 0.02145, Safe / Unsafe = 0.74225
I = 300000, Safe = 0.01579, UnSafe = 0.02137, Safe / Unsafe = 0.73885
I = 400000, Safe = 0.01592, UnSafe = 0.02134, Safe / Unsafe = 0.74590
I = 500000, Safe = 0.01586, UnSafe = 0.02141, Safe / Unsafe = 0.74054
I = 600000, Safe = 0.01593, UnSafe = 0.02129, Safe / Unsafe = 0.74818
I = 100000, Safe = 0.01616, UnSafe = 0.02102, Safe / Unsafe = 0.76879
I = 200000, Safe = 0.01564, UnSafe = 0.02120, Safe / Unsafe = 0.73780
I = 300000, Safe = 0.01577, UnSafe = 0.02130, Safe / Unsafe = 0.74022
