№   ампл.т. ампл.э. фаза.т. фаза.э.
639   1.000 1.000    0.882 0.882
640   1.000 1.000    0.920 0.920
641   1.000 1.000    0.951 0.951
642   1.000 1.000    0.975 0.975
643   1.000 1.000    0.991 0.991
644   1.000 1.000    0.999 0.999
645   1.000 1.000    0.999 0.999
646   1.000 1.000    0.992 0.992
647   1.000 1.000    0.977 0.977
648   1.000 1.000    0.954 0.954
649   1.000 1.000    0.925 0.925
650   1.000 1.000    0.888 0.888
651   1.000 1.000    0.845 0.845
652   1.000 1.000    0.795 0.795
653   1.000 1.000    0.739 0.739
654   1.000 1.000    0.678 0.678
655   1.000 1.000    0.612 0.612
656   1.000 1.000    0.542 0.542
657   1.000 1.000    0.467 0.467
658   1.000 1.000    0.390 0.390
659   1.000 1.000    0.309 0.309
660   1.000 1.000    0.227 0.227
661   1.000 1.000    0.143 0.143
662   0.999 1.000    0.058 0.058
663   0.999 1.000   -0.027 0.027
664   0.999 1.000   -0.112 0.112
665   0.999 1.000   -0.196 0.195
666   0.999 1.000   -0.278 0.278
667   0.999 1.000   -0.358 0.358
668   0.999 1.000   -0.435 0.435
669   0.999 1.000   -0.509 0.509
670   0.999 1.000   -0.580 0.579
671   0.999 0.999   -0.646 0.645
672   0.999 0.999   -0.707 0.707
673   0.999 0.999   -0.764 0.763
674   0.999 0.999   -0.815 0.814
675   0.999 0.999   -0.860 0.860
676   0.999 0.999   -0.899 0.899
677   0.999 0.999   -0.932 0.932
678   0.999 0.999   -0.959 0.959
679   0.999 0.999   -0.979 0.979
680   0.998 0.999   -0.992 0.992
681   0.998 0.998   -0.999 0.999
682   0.998 0.998   -0.999 0.999
683   0.998 0.998   -0.993 0.993
684   0.998 0.998   -0.980 0.980
685   0.998 0.998   -0.960 0.960
686   0.998 0.997   -0.934 0.935
687   0.998 0.997   -0.903 0.903
688   0.997 0.997   -0.865 0.866
689   0.997 0.997   -0.822 0.823
690   0.997 0.996   -0.774 0.775
691   0.997 0.996   -0.721 0.722
692   0.997 0.996   -0.664 0.664
693   0.997 0.996   -0.602 0.603
694   0.996 0.995   -0.537 0.538
695   0.996 0.995   -0.469 0.469
696   0.996 0.995   -0.398 0.398
697   0.996 0.994   -0.325 0.325
698   0.996 0.994   -0.249 0.250
699   0.995 0.994   -0.173 0.173
700   0.995 0.994   -0.096 0.096
701   0.995 0.993   -0.018 0.018
702   0.995 0.993    0.059 0.059
