Started
Inited
Graph Inited
Solved 0
Solved 1
Solved 2
x[0] = 179, v[0] = 0
x[267] = 179.824, v[267] = -0.925982
x[268] = 179.778, v[268] = -0.944008
x[269] = 179.73, v[269] = -1.0232
x[270] = 179.676, v[270] = -1.16097
x[271] = 179.614, v[271] = -1.3318
x[272] = 179.543, v[272] = -1.48765
x[273] = 179.465, v[273] = -1.56498
x[274] = 179.386, v[274] = -1.50265
x[275] = 179.315, v[275] = -1.26889
x[276] = 179.259, v[276] = -0.885909
x[277] = 179.226, v[277] = -0.433944
x[278] = 179.216, v[278] = -0.0258411
x[279] = 179.223, v[279] = 0.236273
x[280] = 179.239, v[280] = 0.296898
x[281] = 179.253, v[281] = 0.158009
x[282] = 179.255, v[282] = -0.132302
x[283] = 179.24, v[283] = -0.497964
x[284] = 179.205, v[284] = -0.848369
x[285] = 179.155, v[285] = -1.08801
x[286] = 179.096, v[286] = -1.13125
x[287] = 179.042, v[287] = -0.927851
x[288] = 179.003, v[288] = -0.491721
x[289] = 178.992, v[289] = 0.0876285
x[290] = 179.012, v[290] = 0.668295
x[291] = 179.059, v[291] = 1.10871
x[292] = 179.123, v[292] = 1.32048
x[293] = 179.191, v[293] = 1.29153
x[294] = 179.252, v[294] = 1.0735
x[295] = 179.298, v[295] = 0.751318
x[296] = 179.327, v[296] = 0.416309
x[297] = 179.34, v[297] = 0.150907
x[298] = 179.342, v[298] = 0.0201518
x[299] = 179.342, v[299] = 0.0616384
x[300] = 179.348, v[300] = 0.272676
x[301] = 179.369, v[301] = 0.603451
x[302] = 179.408, v[302] = 0.967984
x[303] = 179.466, v[303] = 1.27456
x[304] = 179.536, v[304] = 1.46109
x[305] = 179.612, v[305] = 1.51465
x[306] = 179.687, v[306] = 1.46602
x[307] = 179.758, v[307] = 1.36731
x[308] = 179.824, v[308] = 1.26797
x[309] = 179.885, v[309] = 1.19929
x[310] = 179.944, v[310] = 1.16882
x[311] = 180.002, v[311] = 1.16252
x[312] = 180.06, v[312] = 1.15303
x[313] = 180.117, v[313] = 1.11305
x[314] = 180.171, v[314] = 1.03003
x[315] = 180.22, v[315] = 0.915323
x[316] = 180.263, v[316] = 0.801715
x[317] = 180.301, v[317] = 0.730247
x[318] = 180.336, v[318] = 0.734022
x[319] = 180.374, v[319] = 0.826919
x[320] = 180.419, v[320] = 0.999281
x[321] = 180.474, v[321] = 1.21768
x[322] = 180.541, v[322] = 1.42663
x[323] = 180.617, v[323] = 1.55489
x[324] = 180.696, v[324] = 1.53168
x[325] = 180.77, v[325] = 1.31403
x[326] = 180.827, v[326] = 0.915038
x[327] = 180.861, v[327] = 0.413697
x[328] = 180.869, v[328] = -0.0673183
x[329] = 180.855, v[329] = -0.408105
x[330] = 180.828, v[330] = -0.535394
x[331] = 180.801, v[331] = -0.44032
x[332] = 180.784, v[332] = -0.168415
x[333] = 180.784, v[333] = 0.202084
x[334] = 180.805, v[334] = 0.577996
x[335] = 180.842, v[335] = 0.862196
x[336] = 180.891, v[336] = 0.965951
x[337] = 180.939, v[337] = 0.830576
x[338] = 180.974, v[338] = 0.455028
x[339] = 180.985, v[339] = -0.0880565
x[340] = 180.965, v[340] = -0.667322
x[341] = 180.918, v[341] = -1.13969
x[342] = 180.851, v[342] = -1.4049
x[343] = 180.778, v[343] = -1.43587
x[344] = 180.708, v[344] = -1.27267
x[345] = 180.65, v[345] = -0.993621
x[346] = 180.609, v[346] = -0.685838
x[347] = 180.582, v[347] = -0.42711
x[348] = 180.566, v[348] = -0.2773
x[349] = 180.554, v[349] = -0.271479
x[350] = 180.539, v[350] = -0.411346
x[351] = 180.513, v[351] = -0.660029
x[352] = 180.473, v[352] = -0.949584
x[353] = 180.418, v[353] = -1.20437
x[354] = 180.353, v[354] = -1.37037
x[355] = 180.281, v[355] = -1.43362
